Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Punjab National Bank","https://scanx.trade/company/punjab-national-bank-ltd","129.44","-0.80%","130.25","1,77,61,050","1,48,764.66","8.39","10.57","135.15","85.46","7.73%","3.56%","40.76%","172.22%","216.87%","1.07","2.22%","8.25%","5.75%","10.66","124.36","114.70","58.96","76.00%","87.50%"
"Torrent Pharmaceuticals","https://scanx.trade/company/torrent-pharmaceuticals-ltd","4,333.30","-1.51%","4,420.30","4,04,933","1,46,658.56","65.55","33.06","4,470.00","2,886.45","10.20%","15.38%","45.07%","192.70%","256.91%","17.63","0.14%","24.16%","28.48%","49.44","4,020.11","3,646.50","65.06","78.00%","87.50%"
"Cholamandalam Investment","https://scanx.trade/company/cholamandalam-investment-ltd","1,730.80","-0.99%","1,740.00","18,44,360","1,46,054.16","30.73","30.80","1,831.50","1,358.65","5.33%","1.05%","20.31%","126.89%","233.55%","5.25","0.11%","17.41%","9.61%","43.53","1,699.47","1,624.04","53.75","75.93%","87.50%"
"Britannia Industries","https://scanx.trade/company/britannia-industries-ltd","6,002.50","-2.19%","6,135.50","3,50,612","1,44,581.19","61.18","-484.15","6,336.00","4,506.00","2.87%","2.07%","25.50%","35.11%","78.45%","39.59","1.22%","53.81%","58.72%","91.68","5,985.73","5,838.56","48.61","78.00%","87.50%"
"Canara Bank","https://scanx.trade/company/canara-bank-ltd","157.37","-0.95%","158.88","2,33,77,836","1,42,744.84","7.83","10.57","162.89","78.60","3.66%","4.80%","88.56%","190.24%","400.54%","1.30","2.52%","15.87%","6.11%","17.21","151.27","128.72","60.27","76.00%","87.50%"
"Tata Capital","https://scanx.trade/company/tata-capital-ltd","333.60","-0.21%","334.00","24,99,099","1,41,608.83","32.09","30.80","367.30","315.10","-5.16%","2.79%","0.94%","0.94%","0.94%","3.29","0.11%","-","9.08%","-","346.71","-","37.06","-","75.00%"
"Tata Motors Passenger Vehicles","https://scanx.trade/company/tata-motors-passenger-vehicles-ltd","382.65","-2.27%","393.65","1,59,51,041","1,40,913.90","1.69","49.95","450.40","324.33","11.09%","6.51%","-2.54%","47.77%","95.73%","1.30","1.53%","34.17%","18.34%","102.18","363.95","395.90","57.37","76.00%","89.10%"
"Samvardhana Motherson International","https://scanx.trade/company/motherson-sumi-systems-ltd","133.34","-1.46%","135.50","2,26,09,831","1,40,732.94","39.20","130.59","135.83","71.50","23.01%","19.26%","62.75%","142.57%","68.85%","3.84","0.42%","10.70%","14.07%","4.75","121.06","108.11","63.64","75.72%","87.15%"
"Trent","https://scanx.trade/company/trent-ltd","3,899.50","1.13%","3,856.00","9,76,499","1,38,622.34","84.66","14.61","6,261.00","3,645.00","3.82%","-9.15%","-18.85%","198.69%","382.22%","22.48","0.13%","36.01%","29.27%","35.43","4,044.45","4,833.12","40.96","72.77%","85.89%"
"Power Finance Corporation","https://scanx.trade/company/power-finance-corporation-ltd","413.80","-1.62%","420.00","69,22,370","1,36,558.21","4.15","36.61","444.10","329.90","15.38%","14.18%","9.44%","257.46%","317.14%","1.09","3.76%","19.70%","9.24%","62.81","383.24","394.86","57.18","72.83%","86.60%"
"Cummins","https://scanx.trade/company/cummins-india-ltd","4,898.30","-1.30%","4,982.00","9,44,558","1,35,780.88","61.36","57.18","4,975.00","2,580.00","24.63%","11.12%","74.25%","211.76%","521.81%","17.42","1.04%","26.02%","32.98%","66.04","4,337.69","3,944.84","71.26","76.00%","87.50%"
"IRFC","https://scanx.trade/company/indian-railway-finance-corp-ltd","103.55","0.31%","103.00","1,90,27,229","1,35,324.38","19.26","36.61","148.95","102.54","-9.29%","-12.31%","-13.97%","271.81%","320.08%","2.38","1.55%","13.04%","5.81%","4.93","117.54","125.57","26.51","72.21%","85.59%"
"Muthoot Finance","https://scanx.trade/company/muthoot-finance-ltd","3,353.50","-2.40%","3,458.00","13,62,651","1,34,632.45","15.95","30.80","4,149.50","1,965.00","-11.81%","-9.99%","51.83%","247.37%","158.02%","3.87","0.76%","16.57%","13.76%","111.25","3,752.51","3,124.63","37.05","76.00%","85.99%"
"Indian Bank","https://scanx.trade/company/indian-bank-ltd","990.50","-0.11%","988.10","23,43,944","1,33,416.78","11.60","10.57","997.95","478.00","13.01%","11.70%","89.90%","263.42%","628.04%","1.84","1.64%","13.49%","5.89%","67.86","870.36","750.16","70.49","75.78%","86.96%"
"Tech Mahindra","https://scanx.trade/company/tech-mahindra-ltd","1,357.80","-0.29%","1,391.00","26,01,590","1,33,026.56","29.06","25.37","1,854.00","1,209.40","-20.18%","-10.69%","-14.51%","21.34%","47.77%","4.84","3.30%","8.83%","18.78%","25.74","1,601.81","1,546.10","22.23","76.00%","89.69%"
"LTI Mindtree","https://scanx.trade/company/lti-larsen-toubro-infotech-ltd","4,462.00","-0.93%","4,590.00","4,64,787","1,32,293.50","28.27","25.37","-","-","3,302.21%","-","-","4,241.31%","-","5.71","1.44%","22.89%","26.33%","154.11","5,724.86","5,494.65","19.23","76.00%","87.50%"
"Polycab","https://scanx.trade/company/polycab-india-ltd","8,610.50","1.23%","8,502.00","9,26,904","1,29,621.15","48.18","19.08","8,539.50","4,555.00","28.09%","14.21%","84.00%","180.21%","543.97%","12.09","0.41%","21.87%","27.96%","118.40","7,555.02","7,133.10","75.29","74.12%","86.89%"
