Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Suryoday Small Finance Bank","https://scanx.trade/company/suryoday-small-finance-bank-ltd","132.08","4.97%","125.00","7,60,887","1,403.88","19.55","9.69","161.48","97.97","-0.50%","-7.96%","14.66%","32.48%","-52.46%","0.67","-","4.90%","6.35%","22.44","134.97","136.43","54.15","65.09%","-"
"DCW","https://scanx.trade/company/dcw-ltd","47.48","-2.14%","48.30","6,08,700","1,401.40","34.38","13.80","90.36","42.66","2.93%","-24.66%","-35.54%","-2.00%","82.97%","1.35","0.21%","-1.06%","1.09%","0.46","52.35","67.37","40.86","63.22%","65.00%"
"Antony Waste Handling Cell","https://scanx.trade/company/antony-waste-handling-cell-ltd","492.70","-3.08%","508.05","68,850","1,398.39","14.34","34.23","693.00","408.05","-13.67%","6.32%","-9.22%","90.05%","65.22%","2.09","-","13.71%","13.55%","30.11","511.55","554.22","44.24","50.00%","-"
"TIL","https://scanx.trade/company/til-ltd","208.98","0.22%","206.00","20,108","1,391.85","-132.71","-5.98","409.00","165.40","-4.16%","-25.07%","7.21%","45.12%","23.40%","10.21","-","-","12.64%","-","248.73","302.12","36.31","-","-"
"ESAF Small Finance Bank","https://scanx.trade/company/esaf-small-finance-bank-ltd","26.99","-0.48%","27.12","3,63,641","1,391.53","-3.74","9.69","36.20","24.31","-5.56%","1.12%","-9.09%","-60.91%","-60.91%","0.80","-","17.08%","4.11%","6.96","27.46","29.26","41.81","50.00%","-"
"Astec Lifesciences","https://scanx.trade/company/astec-lifesciences-ltd","623.70","-0.66%","620.00","15,686","1,389.71","-15.60","20.23","990.82","554.00","9.53%","-30.06%","-17.99%","-55.22%","-40.83%","3.36","-","-12.69%","-20.22%","-","645.68","756.00","47.50","50.00%","-"
"Salasar Techno Engineering","https://scanx.trade/company/salasar-techno-engineering-ltd","7.91","-0.13%","8.00","17,78,592","1,382.63","52.87","18.50","11.30","6.91","3.26%","-21.22%","-15.40%","-8.34%","110.93%","1.64","-","10.04%","11.00%","0.31","8.43","8.61","42.33","50.00%","-"
"Jagran Prakashan","https://scanx.trade/company/jagran-prakashan-ltd","63.35","-0.35%","63.57","55,199","1,378.84","10.89","26.73","83.80","62.66","-5.50%","-9.45%","-9.03%","-8.78%","6.11%","0.71","9.42%","10.19%","7.12%","8.28","67.67","70.99","32.62","50.00%","-"
"Atul Auto","https://scanx.trade/company/atul-auto-ltd","495.80","-1.39%","503.00","5,00,297","1,375.91","45.33","9.01","554.00","381.15","27.46%","7.58%","9.03%","36.68%","160.13%","3.08","-","-","6.95%","-","448.96","463.77","57.68","50.00%","-"
"Gandhar Oil Refinery","https://scanx.trade/company/gandhar-oil-refinery-ltd","140.43","0.48%","139.76","92,044","1,374.52","12.16","9.94","184.42","120.56","-13.90%","6.88%","-2.16%","-53.41%","-53.41%","1.06","0.36%","28.04%","11.24%","12.94","150.72","151.64","39.69","50.00%","-"
"Wendt","https://scanx.trade/company/wendt-india-ltd","6,854.50","-0.10%","6,861.50","6,021","1,370.90","61.17","42.15","12,990.00","6,447.00","3.27%","-16.83%","-31.75%","-19.45%","110.78%","5.50","0.73%","19.31%","20.87%","198.05","7,248.55","8,618.27","43.99","50.00%","70.00%"
"Andhra Paper","https://scanx.trade/company/andhra-pradesh-paper-mills-ltd","68.77","-0.43%","69.70","54,466","1,367.49","73.40","18.92","90.00","61.16","9.16%","0.36%","-8.39%","-20.07%","51.18%","0.71","1.45%","17.95%","6.24%","62.58","66.37","74.31","56.32","60.00%","-"
"Aurum PropTech","https://scanx.trade/company/aurum-ltd","179.46","0.59%","178.00","16,814","1,365.96","-49.87","49.35","225.70","144.40","-1.38%","10.78%","5.62%","50.49%","132.55%","2.64","-","-","-3.07%","-","182.39","181.61","49.07","50.00%","-"
"Orient Technologies","https://scanx.trade/company/orient-technologies-ltd","297.00","-2.89%","301.25","2,54,455","1,360.44","61.99","49.35","466.73","267.45","-9.06%","-10.33%","1.79%","-1.79%","-1.79%","3.95","0.53%","-","20.41%","-","340.77","330.29","38.88","60.00%","65.00%"
"Anondita Medicare","https://scanx.trade/company/anondita-medicare-ltd","750.00","2.74%","730.00","16,000","1,356.50","80.40","34.23","1,037.45","261.75","-17.22%","20.67%","159.29%","159.29%","159.29%","12.30","-","-","48.42%","-","776.51","-","42.40","-","-"
"Shriram Properties","https://scanx.trade/company/shriram-properties-ltd","79.35","-0.75%","79.60","2,73,466","1,354.14","19.47","19.99","105.58","63.13","9.42%","-10.58%","12.62%","19.77%","-20.33%","0.98","-","5.69%","13.50%","4.43","80.38","88.96","47.97","50.00%","70.00%"
"Sical Logistics","https://scanx.trade/company/sical-logistics-ltd","64.74","-0.31%","64.80","6,473","1,351.75","22.71","34.23","103.38","64.25","-13.63%","-16.50%","-18.23%","-23.75%","-23.75%","1.48","-","-","2.66%","-","74.48","80.18","29.19","-","-"
"Danish Power","https://scanx.trade/company/danish-power-ltd","685.05","1.27%","688.95","13,800","1,348.97","23.13","4.69","1,189.00","582.00","10.23%","-0.65%","-10.07%","14.46%","14.46%","4.16","-","-","25.92%","-","653.36","837.56","55.20","-","-"
"Signpost India","https://scanx.trade/company/signpost-india-ltd","251.91","0.13%","250.00","73,507","1,346.46","26.86","34.23","310.00","180.37","21.37%","12.23%","6.99%","-22.86%","-22.86%","5.36","0.20%","-","17.85%","-","220.50","231.98","70.61","36.00%","-"
"Meghmani Organics","https://scanx.trade/company/mol.ltd","52.74","-0.99%","53.35","2,13,189","1,341.25","33.44","20.23","106.30","50.55","-5.40%","-23.18%","-18.62%","-43.86%","-40.91%","0.88","-","-6.94%","4.17%","-","58.18","77.21","41.51","64.95%","-"
"Chaman Lal Setia Exports","https://scanx.trade/company/chaman-lal-setia-exp-ltd","269.56","-2.40%","275.81","65,249","1,340.40","13.56","47.30","395.75","228.80","13.74%","3.28%","-2.84%","70.45%","109.77%","2.01","0.91%","19.34%","18.35%","21.42","260.99","290.90","51.39","50.00%","-"
